Safety_Score,Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric,Accident_ID
65.29680365,13,12,74.06563355,0.466131266,79.53,7,21079.29955,0,0.002033276,48
19.40639269,15,3,53.32725615,0.266708258,75.2,4,19484.24361,3,0.035617203,49
33.05936073,15,15,72.33363719,0.442330328,83.6,1,40822.78545,2,1.4843158,50
52.60273973,13,2,47.53874202,0.487768482,84.13,6,31631.23083,1,0.008117908,51
29.6347032,13,7,48.90610757,0.511569419,77.68,4,23561.29284,2,0.043469396,52
41.73515982,13,11,71.87784868,0.380303642,76.2,6,17443.65487,2,0.004776066,53
40.3652968,9,1,56.79124886,0.364436351,76.95,3,21268.83955,3,0.106394034,54
30.456621,16,0,76.52689152,0.239661738,78.84,6,37178.37697,2,0.009163566,55
40.77625571,13,0,45.44211486,0.598118283,76.37,2,22443.89357,1,0.306870693,56
37.16894977,14,3,62.7620784,0.329095564,79.63,1,10730.43013,1,0.359229271,57
38.81278539,13,18,64.03828624,0.467213127,82.06,6,30858.54314,4,0.008024948,58
45.20547945,11,35,56.5633546,0.459640101,81.06,6,17474.54856,1,0.004920492,59
24.56621005,18,6,59.61713765,0.273560043,78.16,4,31278.38645,2,0.057671472,60
43.33333333,12,3,77.52962625,0.185568698,79.76,5,14519.24189,2,0.011204959,61
56.62100457,8,6,85.68824066,0.151670393,78.6,6,32932.72392,2,0.008176606,62
42.64840183,9,0,58.70556062,0.256610891,81.16,1,31380.14392,1,1.163182128,63
49.08675799,14,4,68.09480401,0.294115398,79.63,1,26992.78692,1,0.991433467,64
33.51598174,11,2,61.48587056,0.444133429,75.21,4,25794.58087,3,0.047157141,65
25.29680365,14,3,83.81950775,0.301327804,81.94,4,25111.1749,2,0.046045891,66
37.39726027,14,1,79.76298997,0.360830148,78.39,6,49758.64154,2,0.012895327,67
13.69863014,17,5,62.67092069,0.258413992,79.85,2,37474.07417,1,0.50921559,68
53.92694064,12,14,49.31631723,0.421053732,86.42,1,37120.17167,3,1.358396134,69
48.63013699,11,4,79.76298997,0.25516841,82.66,3,34032.096,0,0.170265585,70
52.46575342,9,0,58.93345488,0.425381176,78.75,3,29213.84098,0,0.14544715,71
48.44748858,10,27,64.49407475,0.368763794,88.27,6,35818.65322,2,0.00857348,72
38.31050228,11,1,49.54421149,0.515536242,79.89,4,47541.00507,3,0.086991335,73
58.99543379,14,7,73.01731996,0.320801298,82.49,7,52189.53654,0,0.004492904,74
45.38812785,15,3,52.50683683,0.520945546,77.33,2,47423.38606,1,0.639480634,75
30.63926941,12,6,74.24794895,0.232809953,76.02,1,32791.84219,3,1.212235923,76
13.78995434,17,0,62.67092069,0.300967184,79.84,3,41118.82065,3,0.203686645,77
39.49771689,13,6,78.03099362,0.381024883,78.28,3,39523.6658,2,0.196654787,78
39.17808219,13,7,70.87511395,0.423938695,78.59,3,33528.51335,3,0.168760794,79
56.84931507,11,18,76.98268004,0.294476019,87.05,2,30950.39131,3,0.42055479,80
58.44748858,11,5,64.81312671,0.329095564,83.45,2,36844.46116,3,0.499167816,81
19.7716895,15,7,57.65724704,0.428626758,78.13,1,18584.99066,2,0.680514978,82
51.68949772,10,1,72.56153145,0.387155427,78.56,3,45213.50767,1,0.224051805,83
27.80821918,13,5,65.13217867,0.390040389,78.66,7,26744.8668,2,0.002195759,84
23.42465753,15,10,71.19416591,0.351454021,79.58,4,42336.48102,2,0.07768469,85
62.51141553,13,0,49.04284412,0.543664623,78.46,7,15180.03179,1,0.001035952,86
54.24657534,5,4,73.29079307,0.244349802,77.95,3,34497.64398,1,0.170265585,87
33.10502283,18,5,68.77848678,0.265265777,78.17,1,35553.18579,2,1.308339727,88
26.25570776,14,2,55.74293528,0.303852146,79.25,4,41817.9806,3,0.075886726,89
30.77625571,20,2,56.83682771,0.303491525,84.76,6,50122.01975,3,0.012272565,90
48.63013699,17,1,69.64448496,0.303130905,76.94,7,33771.9963,2,0.00302253,91
30.3196347,12,0,68.64175023,0.413480707,81.48,4,46371.52752,2,0.085265848,92
23.10502283,14,22,37.51139471,0.577923549,79.74,1,38783.35661,3,1.419256294,93
29.08675799,16,2,81.17593437,0.237137396,77.38,6,29575.35166,3,0.007483543,94
59.543379,14,15,70.55606199,0.239661738,78.7,7,27171.77467,1,0.002165179,95
27.85388128,13,5,53.60072926,0.47226181,78.49,4,24068.42586,2,0.043884561,96
20.95890411,15,9,79.39835916,0.267429499,77.1,4,20146.91725,3,0.037949075,97
58.31050228,11,4,54.92251595,0.405186441,76.09,2,32793.25715,1,0.442314977,98
45.75342466,11,17,59.02461258,0.311425171,85.61,6,25813.38054,3,0.006094288,99
46.57534247,14,1,64.6308113,0.316473855,79.72,2,30063.66224,1,0.406933962,100
45.29680365,15,3,76.75478578,0.21550018,78.31,2,22004.47041,2,0.292872789,101
40.54794521,20,14,50.36463081,0.354699603,77.62,2,45105.84144,2,0.61774487,102
57.57990868,11,4,61.39471285,0.548352687,80.98,2,20134.14523,2,0.270944894,103
32.14611872,12,5,73.51868733,0.40410458,76.02,1,37060.22364,3,1.358396134,104
31.59817352,15,2,61.57702826,0.349290299,83.19,1,23728.35171,2,0.870409654,105
20.2283105,15,1,56.15314494,0.523469888,77.04,4,36683.45992,1,0.06789051,106
26.21004566,14,3,56.15314494,0.784558961,82.75,1,48583.54863,3,1.781913839,107
51.00456621,10,18,57.56608933,0.388237288,78.93,6,37429.15324,2,0.009152432,108
43.51598174,12,2,62.03281677,0.451345835,87.34,3,37571.9051,3,0.186909001,109
35.25114155,11,6,51.36736554,0.398695276,80.44,7,35285.26904,2,0.003212363,110
33.74429224,11,2,64.4484959,0.514093761,77.34,4,3971.094226,1,0.020103128,111
31.82648402,19,0,76.07110301,0.386434187,81.57,4,36989.08023,2,0.067279984,112
42.87671233,12,14,68.96080219,0.254447169,77.23,4,13938.95103,3,0.025557014,113
31.50684932,15,4,61.57702826,0.493899026,80.47,6,42708.85447,3,0.010557186,114
35.98173516,11,7,85.96171376,0.198911648,78.48,3,22102.03854,2,0.110911641,115
30.1369863,16,3,53.2816773,0.250119726,82.18,1,17318.54848,2,0.651623743,116
54.52054795,5,3,80.03646308,0.183044356,80.05,3,40028.32614,0,0.198336005,117
54.88584475,12,4,61.2579763,0.437281644,78.36,4,28287.9926,1,0.052308589,118
57.57990868,11,1,76.89152233,0.428266138,87.23,2,35859.4448,2,0.485770798,119
27.30593607,13,13,84.86782133,0.263823296,80.27,2,29399.90628,2,0.399359326,120
58.26484018,11,7,68.91522334,0.284739272,81.92,3,38968.23652,3,0.196274797,121
83.65296804,7,1,89.51686418,0.275363145,80.07,6,30107.34664,4,0.007168962,122
34.79452055,11,19,61.66818596,0.448460873,78.22,4,44997.47382,1,0.081535051,123
29.7260274,12,17,75.75205105,0.196026686,77.49,4,28715.70804,1,0.05310589,124
32.37442922,12,11,66.59070191,0.586939055,79.61,4,25615.58223,2,0.047007902,125
15.20547945,20,10,50.59252507,0.408071403,80.6,1,23086.07039,4,0.849133434,126
69.36073059,11,31,88.46855059,0.250480346,79.36,6,44244.90346,1,0.01056921,127
17.71689498,16,1,54.9680948,0.47154057,76.78,4,36683.45992,1,0.067701807,128
30.3196347,12,1,52.23336372,0.422496213,77.99,2,9666.940558,2,0.122122401,129
56.02739726,12,13,62.8532361,0.312507032,77.36,5,44899.07051,2,0.029708181,130
41.73515982,16,5,66.49954421,0.465770646,76.2,2,32060.63407,3,0.432651297,131
56.84931507,12,0,73.19963537,0.352175261,80.79,2,29887.80597,2,0.405598313,132
16.66666667,19,15,65.99817685,0.49930833,76.53,1,11268.29351,3,0.416754744,133
27.39726027,17,0,72.19690064,0.340274793,77.36,2,30684.67256,2,0.415919627,134
47.89954338,18,12,53.78304467,0.472622431,78.87,6,24170.08953,2,0.005897306,135
42.69406393,12,11,45.67000912,0.414923188,81.84,3,29832.35471,2,0.148519063,136
65.98173516,9,3,64.99544211,0.339553552,77.98,1,33179.916,2,1.222028191,137
34.65753425,11,5,84.18413856,0.198911648,78.52,7,53915.33299,0,0.004404294,138
59.8173516,14,0,74.56700091,0.303852146,76.33,7,13696.99706,2,0.001356365,139
22.60273973,15,15,57.976299,0.527797331,82.39,4,36653.79366,0,0.06703816,140
21.27853881,15,8,72.83500456,0.329456185,82.93,4,43034.57271,1,0.079028322,141
69.8630137,11,3,57.15587967,0.441609088,76.83,7,42842.03827,2,0.003857054,142
48.67579909,7,2,67.6390155,0.251922827,78.77,4,30423.72497,4,0.055658724,143
18.72146119,16,2,74.24794895,0.238940498,79.16,1,15576.82814,2,0.589488708,144
52.37442922,9,5,41.20328168,0.623001082,79.53,3,34001.72617,1,0.170265585,145
32.73972603,12,7,63.67365542,0.432593581,77.34,4,27897.8067,2,0.050710543,146
57.03196347,12,9,65.22333637,0.277887486,78.48,2,34310.10426,1,0.465273335,147
54.42922374,12,6,68.77848678,0.198911648,76.58,5,32800.83687,2,0.021450516,148
58.76712329,14,8,73.01731996,0.34965092,79.29,7,37867.50434,4,0.003640686,149
33.15068493,15,0,76.80036463,0.369485034,80.64,4,37935.80165,1,0.069215439,150
34.65753425,15,8,54.28441203,0.592348359,82.71,3,34985.72171,3,0.175089765,151
28.94977169,13,4,69.59890611,0.334865489,83.29,4,36539.89933,3,0.067297134,152
47.35159817,11,0,77.07383774,0.321161918,77.86,7,32624.49113,4,0.003249482,153
59.04109589,11,5,68.14038286,0.253365308,80.79,2,26755.00794,2,0.3585355,154
65.43378995,12,7,49.40747493,0.421053732,81.45,4,35275.17365,3,0.064052972,155
48.63013699,7,22,65.22333637,0.334865489,81.31,4,36384.88629,1,0.065822195,156
55.66210046,5,13,21.14858706,0.818096646,82.86,6,42536.96106,2,0.010830605,157
67.44292237,12,4,74.79489517,0.233531194,85.61,7,25956.9935,2,0.002534247,158
54.38356164,12,6,73.47310848,0.288706094,75.69,4,37388.68971,2,0.068636161,159
72.00913242,11,3,62.9443938,0.321883159,85.71,7,43296.07115,3,0.003750067,160
32.46575342,15,4,74.74931632,0.265626397,78.21,6,40416.90348,1,0.009514099,161
29.08675799,13,10,74.52142206,0.304573386,79.05,4,40754.76562,2,0.074357579,162
57.16894977,8,5,88.87876026,0.213697079,80.16,6,14287.47546,2,0.003414515,163
17.30593607,16,7,51.5952598,0.422496213,78.91,1,22087.48601,0,0.812553201,164
30.82191781,15,6,54.64904284,0.371648756,81.39,3,35285.26904,2,0.175624748,165
62.78538813,6,1,33.68277119,0.668078615,77.25,3,38281.29237,2,0.190396357,166
54.84018265,5,28,79.85414768,0.206124053,80.05,4,17326.7709,4,0.031158483,167
17.16894977,16,15,75.25068368,0.291230436,76.78,4,31531.7962,0,0.057508197,168
51.41552511,9,3,71.37648131,0.227040029,77.96,3,38369.54216,3,0.19093699,169
36.07305936,14,4,48.90610757,0.252644068,78.11,3,21369.81308,4,0.105891317,170
30.1369863,12,0,52.23336372,0.785640822,81.13,1,37945.78025,3,1.39011858,171
48.76712329,14,33,65.49680948,0.329095564,81.75,2,42621.84361,2,0.577773876,172
30.63926941,12,0,67.59343665,0.2692326,82.85,4,56326.35024,2,0.11478887,173
41.14155251,12,0,62.67092069,0.315752614,79.15,1,30269.97101,3,1.113600266,174
43.51598174,12,3,82.04193254,0.254807789,80.96,5,22036.1723,4,0.014437287,175
46.98630137,11,2,53.96536007,0.461803823,80.23,2,43203.98251,3,0.588559895,176
9.908675799,19,12,54.01093892,0.466852506,82.15,5,30719.49911,1,0.020296259,177
51.55251142,13,11,77.52962625,0.316473855,78.35,5,44315.60535,1,0.029100155,178
36.25570776,11,7,52.05104831,0.280411828,76.35,4,33112.52185,2,0.060885686,179
47.99086758,11,9,56.79124886,0.414923188,80.42,3,9560.909439,1,0.012477811,180
23.10502283,14,16,44.71285324,0.675651641,79.06,3,36422.87493,2,0.181048303,181
53.83561644,12,1,50.68368277,0.717844212,78.9,5,40541.72904,1,0.027307774,182
63.51598174,13,4,49.04284412,0.252644068,78.48,7,9966.281392,2,0.001102636,183
67.94520548,12,35,60.66545123,0.416726289,78.56,4,27289.11653,1,0.050222997,184
26.62100457,17,0,73.74658159,0.369845655,78.92,1,39239.23963,2,1.43817383,185
29.40639269,16,10,64.81312671,0.58044789,77.87,3,43209.8141,3,0.215461328,186
47.12328767,11,16,55.78851413,0.311785792,80.25,2,24422.94343,3,0.330528597,187
50.86757991,13,3,62.62534184,0.52527299,89.82,5,32791.01474,1,0.021224654,188
76.11872146,6,1,65.36007293,0.461082582,75.41,4,22083.71535,4,0.040335528,189
78.67579909,9,1,62.26071103,0.427905517,77.09,6,28815.05953,4,0.0070379,190
32.10045662,12,16,81.44940747,0.29555788,77.84,1,41697.17492,0,1.534388923,191
34.38356164,15,7,21.14858706,0.774822214,85.58,3,28384.52631,1,0.141411386,192
41.14155251,9,0,72.01458523,0.35001154,82.44,7,35976.20214,3,0.003113423,193
45.43378995,18,1,54.6946217,0.455312658,84.74,7,36560.59612,0,0.003045071,194
38.44748858,17,22,76.89152233,0.428266138,76.69,2,14865.90565,2,0.176030905,195
34.47488584,11,8,65.99817685,0.28257555,76.79,2,30122.31936,3,0.412493537,196
32.92237443,15,12,57.74840474,0.407350162,84.26,3,25131.3222,2,0.125493232,197
12.46575342,18,9,73.33637192,0.316113235,78.6,2,21259.72967,0,0.286821822,198
46.21004566,18,4,42.88969918,0.608215651,82.69,7,24523.02714,2,0.002279511,199
42.10045662,12,22,56.74567001,0.72902344,75.83,2,32349.29538,0,0.438933418,200
26.25570776,14,26,55.24156791,0.5130119,81.43,4,47946.31259,2,0.088648827,201
46.25570776,8,29,65.04102097,0.293394158,88.71,4,37917.17971,2,0.069226186,202
31.78082192,21,6,70.55606199,0.324046881,81.13,2,25151.65052,4,0.339470395,203
52.37442922,13,0,66.36280766,0.365878832,78.63,5,26261.55154,1,0.01651349,204
58.72146119,14,6,78.12215132,0.302770285,79.99,4,24305.3909,2,0.044566011,205
82.23744292,7,10,80.99361896,0.319358817,80.22,7,26029.21845,1,0.00243244,206
36.66666667,14,11,71.42206016,0.314310133,79.2,6,31335.47682,2,0.008116929,207
72.92237443,10,7,70.9206928,0.276084385,77.86,7,32463.03292,0,0.00322386,208
24.74885845,14,7,87.46581586,0.215860801,83.48,4,21267.70437,2,0.038451783,209
48.67579909,7,10,70.00911577,0.346765957,83.19,6,22288.61637,3,0.00566656,210
42.19178082,12,3,66.45396536,0.329456185,78.69,3,30464.23286,3,0.152337945,211
49.04109589,14,3,69.69006381,0.317195096,78.64,2,34529.62574,3,0.469625726,212
23.01369863,14,7,43.80127621,0.453870177,78.69,6,37082.00442,1,0.008740114,213
15.43378995,17,0,67.50227894,0.405547061,79.45,4,47362.34929,2,0.086513998,214
36.16438356,11,2,59.98176846,0.338832312,81.17,4,32342.31338,2,0.058720554,215
48.72146119,10,19,62.16955333,0.55231951,79.42,3,35329.41208,2,0.175624748,216
37.12328767,10,2,70.19143118,0.239661738,81.11,4,23275.65222,2,0.042140418,217
43.83561644,12,2,69.55332726,0.409513884,79.61,3,27584.05649,4,0.137231411,218
20.2283105,15,4,55.69735643,0.311425171,79.31,4,36228.38126,3,0.066055734,219
32.42009132,12,14,51.5952598,0.288345474,81.8,3,18799.48957,2,0.095587438,220
46.48401826,11,0,52.59799453,0.335226109,76.85,4,32058.5032,2,0.059119512,221
33.19634703,11,1,41.43117593,0.502914533,82.7,2,47505.46229,5,0.648170989,222
45.29680365,15,1,60.34639927,0.531764154,79.83,4,30954.27117,2,0.056423869,223
5.205479452,20,4,71.37648131,0.189535521,78.52,6,32124.97323,3,0.00811696,224
20.95890411,15,9,80.62898815,0.321883159,78.24,1,25187.71192,0,0.928940178,225
28.58447489,16,0,83.81950775,0.312146412,78.63,3,53176.45114,2,0.265482925,226
44.06392694,8,3,60.66545123,0.483080418,77.6,1,40353.55391,2,1.480342466,227
53.19634703,16,2,67.6390155,0.25588965,83.6,7,34326.0046,2,0.003333925,228
47.12328767,14,3,65.08659982,0.321883159,77.34,2,36656.54735,3,0.488682348,229
68.76712329,8,1,58.34092981,0.421053732,82.38,2,34354.11122,1,0.462538701,230
59.17808219,11,1,52.41567912,0.47226181,83.23,7,34165.52878,3,0.003333925,231
28.40182648,13,29,52.55241568,0.467573747,78.49,4,28416.80885,2,0.051566363,232
44.01826484,12,7,56.79124886,0.331980527,77.4,3,42607.0711,0,0.212243576,233
2.648401826,20,7,78.48678213,0.342438514,76.44,4,43590.44521,2,0.07961405,234
59.45205479,10,20,44.71285324,0.693322034,77.08,7,28108.67352,2,0.002611961,235
30.91324201,12,1,73.33637192,0.456755139,84.99,4,23157.29823,2,0.042389134,236
17.71689498,16,1,57.74840474,0.285821132,80.25,4,24079.59067,2,0.043569537,237
33.24200913,15,0,76.75478578,0.380303642,85.3,5,23921.68749,1,0.015331062,238
30.50228311,19,1,73.65542388,0.405907681,78.75,6,35557.67809,2,0.008672093,239
56.62100457,8,15,71.64995442,0.496423368,76.71,2,14865.90565,3,0.201266098,240
62.55707763,10,4,54.28441203,0.456394519,78.96,2,17506.10097,4,0.249915957,241
52.28310502,6,24,82.08751139,0.395810314,75.64,3,38524.22718,4,0.193472476,242
36.80365297,14,0,59.07019143,0.387876668,79.25,6,36560.92675,0,0.00857915,243
24.24657534,18,5,69.14311759,0.325849982,75.05,1,22950.58102,0,0.846302654,244
22.42009132,15,2,45.80674567,0.631295348,78.46,4,24188.39484,1,0.044790941,245
47.99086758,18,2,46.03463993,0.400858997,76.9,7,30457.89176,3,0.002834829,246
35.98173516,11,12,54.37556974,0.466852506,82.54,5,31461.12564,4,0.021450516,247
23.78995434,14,7,79.21604376,0.324768121,78.78,1,13658.8165,2,0.518572471,248
49.40639269,14,6,72.01458523,0.395810314,78.21,5,27205.01875,1,0.018515923,249
51.87214612,6,1,72.56153145,0.373451857,78.27,1,27910.31755,1,1.026763202,250
29.7716895,12,6,66.68185962,0.344241616,80.14,1,23454.28405,2,0.857006083,251
25.43378995,14,7,59.5715588,0.509766318,78.6,1,25739.38468,3,0.948341399,252
29.543379,20,0,56.28988149,0.398334656,80.62,5,25229.782,3,0.016526595,253
52.96803653,9,3,72.6071103,0.307097728,79.36,6,36551.16051,3,0.008922525,254
25.25114155,17,9,79.53509572,0.320440678,79.24,6,35409.76276,2,0.008922525,255
31.73515982,15,11,45.89790337,0.560253155,84.94,6,36060.04787,2,0.008470584,256
26.11872146,17,2,63.17228806,0.477310494,80.46,3,36405.03304,2,0.181565618,257
26.43835616,17,0,89.10665451,0.333062387,78.92,3,26274.69289,2,0.131603582,258
38.81278539,17,2,52.32452142,0.416365669,80.24,2,47423.38606,2,0.641805739,259
30.4109589,12,6,68.41385597,0.274641904,79.6,2,44285.44743,0,0.5997465,260
30,16,3,42.57064722,0.497505229,80.82,7,33289.17764,1,0.003326931,261
30,13,10,66.68185962,0.298803462,79.06,7,39352.59973,3,0.003668654,262
49.6803653,7,3,78.94257065,0.268150739,80.5,4,33791.61942,3,0.06189151,263
53.42465753,9,1,51.5952598,0.639950234,78.76,3,44244.62918,2,0.220516919,264
60,10,0,66.54512306,0.368763794,75.27,2,46273.24001,2,0.623420577,265
63.42465753,6,4,80.40109389,0.523469888,75.61,3,36294.38961,3,0.181056415,266
24.15525114,14,3,56.28988149,0.405907681,79.31,2,44499.23905,3,0.605991663,267
45.20547945,15,5,77.52962625,0.343159755,78.51,2,17636.03041,1,0.249915957,268
56.52968037,8,5,62.21513218,0.332701767,77.98,5,29267.95993,1,0.019522058,269
26.71232877,14,3,69.2342753,0.314310133,78.95,4,41835.88163,3,0.076017227,270
37.39726027,14,0,69.14311759,0.428626758,79.62,3,34176.12272,2,0.171753656,271
77.67123288,3,10,51.82315406,0.380303642,83.5,2,15496.08616,1,0.217473855,272
62.05479452,14,9,73.01731996,0.290148576,78.7,3,32463.03292,3,0.161857417,273
45.34246575,8,1,59.29808569,0.510848179,81.42,4,28604.1784,2,0.052845134,274
29.8630137,12,5,50.68368277,0.55340137,77.19,3,37438.2062,2,0.185647076,275
13.37899543,17,1,52.82588879,0.33630797,77.53,4,25229.782,0,0.045332803,276
58.85844749,14,8,64.40291705,0.40374396,77.78,7,25253.74508,2,0.002216365,277
80.456621,8,19,68.64175023,0.192059863,81.88,6,33079.16863,2,0.008138343,278
33.19634703,11,2,65.13217867,0.5130119,79.73,4,14367.96572,2,0.027990371,279
37.30593607,14,0,51.36736554,0.55340137,76.27,4,33315.56836,3,0.061317168,280
48.40182648,11,4,84.54876937,0.326210602,81.75,7,49602.28421,2,0.004609526,281
33.47031963,15,21,66.0437557,0.426102416,78.75,1,32337.3177,1,1.19173458,282
58.67579909,7,0,53.64630811,0.30998269,82.08,5,37800.79701,2,0.026380929,283
56.75799087,8,1,74.70373747,0.274641904,80.76,3,18687.87523,4,0.090011188,284
63.88127854,13,11,89.97265269,0.185208078,80.58,4,40930.42975,2,0.075128464,285
24.33789954,14,12,41.06654512,0.687191489,78.88,3,44977.61376,3,0.223008337,286
19.04109589,16,5,61.4402917,0.432954201,78.16,4,34315.19241,1,0.062808634,287
78.67579909,9,8,63.53691887,0.321883159,77.36,3,18924.37977,1,0.09559865,288
48.63013699,10,7,71.0118505,0.279329968,78.14,6,26800.13958,2,0.006513426,289
22.83105023,18,6,66.27164995,0.366239452,79.53,3,19201.50213,2,0.095587438,290
15.89041096,17,10,59.98176846,0.242907321,79.17,3,20584.32399,2,0.101519828,291
41.32420091,16,18,66.90975387,0.324768121,80.7,2,38934.89592,1,0.528165793,292
43.28767123,12,10,77.80309936,0.327653083,79.02,3,37986.34565,2,0.189245731,293
19.45205479,19,1,59.98176846,0.518421204,80.19,4,31168.93238,1,0.057413658,294
44.52054795,8,3,53.91978122,0.572153624,79.72,1,38365.13105,1,1.40966133,295
33.56164384,18,6,47.21969006,0.400858997,81.8,2,27933.34536,1,0.378611274,296
52.37442922,6,4,80.08204193,0.292672917,77.63,4,9125.609626,2,0.016530971,297
50.59360731,13,5,69.59890611,0.43079048,81.06,2,47115.29983,3,0.637297327,298
45.02283105,15,0,93.80127621,0.176553191,79.98,4,33941.90305,2,0.062656264,299
32.55707763,12,0,41.52233364,0.634901551,80.6,3,29017.26987,1,0.144784764,300
49.36073059,10,10,70.19143118,0.394007212,76.2,2,25019.92995,2,0.338607931,301
32.73972603,19,8,56.74567001,0.378139921,76.26,6,24442.033,1,0.006066867,302
40.2739726,9,0,80.99361896,0.362633249,78.7,4,41401.72298,0,0.075850778,303
41.78082192,12,14,84.86782133,0.263823296,79.64,6,24101.14266,3,0.00584477,304
62.96803653,13,3,66.31722881,0.261659574,84.8,7,23291.3274,4,0.002458955,305
47.53424658,11,9,93.48222425,0.180159394,83.55,5,26029.16326,3,0.01671128,306
57.44292237,11,5,70.41932543,0.334144248,79.75,5,29267.95993,2,0.020054276,307
51.05022831,10,0,69.82680036,0.280051208,81.09,6,38924.62144,3,0.010124938,308
9.315068493,19,9,54.01093892,0.551598269,78.9,1,14007.55742,1,0.513028955,309
32.87671233,15,7,57.74840474,0.478392355,78.85,5,33635.23464,2,0.023608923,310
44.88584475,8,0,58.79671832,0.412038226,76.37,2,30488.79694,2,0.407458629,311
19.04109589,16,1,89.51686418,0.230646232,80.98,4,30415.65224,2,0.055322646,312
46.39269406,15,9,61.48587056,0.533927876,78.5,7,52249.61015,4,0.005550603,313
48.17351598,10,0,58.1586144,0.392925352,79.56,5,36560.92675,1,0.024095554,314
